=== TABLES ===
tb_recent_visit_items	cr_code	회원코드	varchar(25)	YES	NULL		
tb_recent_visit_items	ce_code	상담사 코드	varchar(25)	YES	NULL		
tb_recent_visit_items	item_flag	아이템구분	varchar(10)	YES	call		
tb_recent_visit_items	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_recent_visit_items	item_code	아이템코드	varchar(25)	YES	NULL		
tb_refresh_token	id		bigint unsigned	NO	NULL	PRI	auto_increment
tb_refresh_token	ac_id	사용자 ID (tb_account.ac_id)	varchar(256)	NO	NULL	MUL	
tb_refresh_token	jti	JWT ID (unique per token)	varchar(64)	NO	NULL	UNI	
tb_refresh_token	family	Token family UUID (login 시 생성)	varchar(64)	NO	NULL	MUL	
tb_refresh_token	is_used	사용 여부 (0=미사용, 1=사용됨)	tinyint(1)	NO	0		
tb_refresh_token	expires_at	만료 시각	datetime	NO	NULL	MUL	
tb_refresh_token	created_at		datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_regist_phone	cr_phone	 회원 휴대폰 번호 	varchar(20)	NO	NULL	PRI	
tb_regist_phone	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_reject	rj_no	차단 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_reject	ce_code	상담사 코드	varchar(25)	YES	NULL		
tb_reject	cr_code	회원코드	varchar(25)	YES	NULL		
tb_reject	cr_phone	회원 휴대폰 번호	varchar(20)	YES	NULL		
tb_reject	rj_code	차단 사유 : 직거래/금품 요구=1\n개인정보/만남 요구=2\n욕설폭언=3\n음담패설=4\n서비스방해=5\n미성년자=6\n기타=0	tinyint unsigned	YES	0		
tb_reject	rj_type	차단구분 : 이용중지=block, 관리자차단=reject, 상담사차단=callee	varchar(20)	YES	NULL		
tb_reject	rj_content	차단 내용	text	YES	NULL		
tb_reject	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_reject	he_code	에르메스상담사코드	varchar(25)	YES	NULL		
tb_reserve_schedule	rs_no		int unsigned	NO	NULL	PRI	auto_increment
tb_reserve_schedule	st_code		varchar(25)	NO	NULL		
tb_reserve_schedule	it_code	아이템코드	varchar(25)	NO	NULL	MUL	
tb_reserve_schedule	ce_code	상담사코드	varchar(25)	NO	NULL		
tb_reserve_schedule	schedule	예약상담 가능 요일 (mon, tue, wed, thu, fri, sat, sun), 가능시간 (00, 01 ~ 23), json 	mediumtext	YES	NULL		
tb_reserve_schedule	regist_admin	등록자	varchar(100)	YES	NULL		
tb_reserve_schedule	regist_date	등록일	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_reserve_schedule	last_update_date	수정일	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_return_alarm	ra_no	부재중 알림 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_return_alarm	st_code	사이트 코드	varchar(25)	YES	NULL	MUL	
tb_return_alarm	ce_code	상담사 코드	varchar(25)	YES	NULL	MUL	
tb_return_alarm	cr_code	회원코드	varchar(25)	YES	NULL	MUL	
tb_return_alarm	cr_phone		varchar(30)	YES	NULL		
tb_return_alarm	ac_id	계정 아이디	varchar(256)	YES	NULL		
tb_return_alarm	it_nick	아이템 닉네임	varchar(125)	YES	NULL		
tb_return_alarm	ra_status	부재중 알림 상태 : regist=등록, complete=완료, delete=삭제	enum('regist','complete','delete')	YES	regist	MUL	
tb_return_alarm	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_return_alarm	send_date	발송일	timestamp	YES	NULL		
tb_return_alarm	ra_type	발송타입, comeback=부재중에서 상담대기 전환, callclose=상담중에서 상담대기전환	varchar(20)	YES	NULL		
tb_return_alarm	item_flag	아이템구분(call:전화,chat:채팅)	varchar(10)	YES	call	MUL	
tb_return_alarm	item_code	아이템코드	varchar(25)	YES	NULL	MUL	
tb_search_log	st_code	사이트 코드	varchar(30)	NO	NULL	PRI	
tb_search_log	s_keyword	키워드	varchar(100)	NO	NULL	PRI	
tb_search_log	s_cnt	키워드 조회수	int unsigned	YES	0		
tb_search_log	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_category	sh_no	SEQ	int unsigned	NO	NULL	PRI	auto_increment
tb_shop_category	shop_genre	대면상품 카테고리 장르	varchar(20)	YES	NULL		
tb_shop_category	shop_category_code	대면상품 카테고리 코드	varchar(25)	YES	NULL	MUL	
tb_shop_category	shop_category_name	대면상품 카테고리명	varchar(40)	YES	NULL		
tb_shop_category	use_yn	대면상품 사용여부	enum('Y','N')	YES	Y		
tb_shop_category	sort	정렬순서	int	YES	NULL		
tb_shop_category	regist_date	등록일	timestamp	YES	NULL		
tb_shop_category	regist_id	등록자 ID	varchar(40)	YES	NULL		
tb_shop_item_stat	i_no	공지사항 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_shop_item_stat	st_code	사�YES	NULL		
tb_shop_items	sh_addr1	방문상담 아이템 주소	varchar(256)	YES	NULL		
tb_shop_items	sh_addr2	방문상담 아이템 상세주소	varchar(256)	YES	NULL		
tb_shop_items	sh_addr_info	방문상담 아이템 주소 추가 설명	varchar(256)	YES	NULL		
tb_shop_items	sh_service_desc	방문상담 아이템 서비스 소개	mediumtext	YES	NULL		
tb_shop_items	sh_service_pic	방문상담 아이템 서비스 소개 이미지	varchar(200)	YES	NULL		
tb_shop_items	sh_subscription	방문상담 아이템 신청정보	mediumtext	YES	NULL		
tb_shop_items	sh_direction	방문상담 아이템 유의사항	varchar(1000)	YES	NULL		
tb_shop_items	sh_seller_rule	방문상담 아이템 취소 및 환불 규정	mediumtext	YES	NULL		
tb_shop_items	sh_update_cnt	수정 횟수	int unsigned	YES	NULL		
tb_shop_items	sh_main_pic	방문상담 아이템 대표사진	varchar(200)	YES	NULL		
tb_shop_items	sh_view	노출 여부	enum('Y','N')	NO	Y		
tb_shop_items	sh_status	'0' => '승인대기','1' =>'승인보류','2' => '승인불가','3' => '승인완료','4' => '이용중지','5' => '본인삭제','6' => '강제삭제'	tinyint	YES	NULL	MUL	
tb_shop_items	sh_new	아이템이 신규인지 아닌지 	enum('Y','N')	YES	N		
tb_shop_items	sh_suggest	추천아이템여부	enum('Y','N')	YES	N		
tb_shop_items	sh_counsel_field	상담분야 태크 카운팅	mediumtext	YES	NULL		
tb_shop_items	sh_counsel_field_search	검색용 상담분야 태그 카운팅 제일높은 2 or 3개 	varchar(150)	YES	NULL		
tb_shop_items	sh_view_cnt	조회수	int	YES	NULL		
tb_shop_items	sh_status_reason	수정요청, 심사거절 이유	varchar(100)	YES	NULL		
tb_shop_items	regist_type	등록자 타입	varchar(10)	YES	NULL		
tb_shop_items	regist_id	등록자아이디	varchar(50)	YES	NULL		
tb_shop_items	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_items	release_date	승인완료일	timestamp	YES	NULL		
tb_shop_items	last_update_date	최근수정일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_items	image_flag	이미지 첨부 기능 사용여부	enum('Y','N')	YES	N		
tb_shop_items	sh_cmt_cnt	아이템 추천 후기 수	int unsigned	YES	0		
tb_shop_items	sh_cmt_re_cnt	아이템 추천 후기 답변 수	int unsigned	YES	0		
tb_shop_items	sh_ask_cnt	아이템 추천 후기 수	int unsigned	YES	0		
tb_shop_items	sh_ask_re_cnt	아이템 추천 후기 답변 수	int unsigned	YES	0		
tb_shop_items	sh_like_cnt	아이템 관심 등록 수	int unsigned	YES	0		
tb_shop_items	sh_cm_point	아이템 후기 포인트	int unsigned	YES	0		
tb_shop_items	sh_point_cnt	아이템 포인트 부여 개수	int unsigned	YES	0		
tb_shop_items	sh_sort_point	아이템 소팅 점수	int unsigned	YES	0		
tb_shop_items	m1_cm_cnt	최근1개월 후기 개수	int unsigned	YES	0		
tb_shop_items	m1_cm_point	최근1개월 후기 포인트	int unsigned	YES	0		
tb_shop_items	m3_cm_cnt	최근3개월 후기 개수	int unsigned	YES	0		
tb_shop_items	m3_cm_point	최근3개월 후기 포인트	int unsigned	YES	0		
tb_shop_items	w1_cm_cnt	1주간 후기 수	int unsigned	YES	0		
tb_shop_items	w1_cm_point	1주간 별점	int unsigned	YES	0		
tb_shop_items	win_point	지난주 별점 우승자	tinyint unsigned	YES	0		
tb_shop_items	win_comment	지난주 후기 우승자	tinyint unsigned	YES	0		
tb_shop_items	m3_cm_re_cnt	최근 3개월 상담사 답변	int unsigned	YES	0		
tb_shop_items	w1_cm_point5	1주간 별점 5개 받은수	int unsigned	YES	0		
tb_shop_items	m1_cm_point5	최근 1개월 후기 포인트 5개 받은수	int unsigned	YES	0		
tb_shop_items	m3_cm_point5	최근 3개월 후기 포인트 5개 받은수	int unsigned	YES	0		
tb_shop_items	sh_cm_point5	누적 후기 포인트 5개 받은 수	int unsigned	YES	NULL		
tb_shop_items	win_point5	지난주 후기포인트 5점 우승자	tinyint	YES	0		
tb_shop_items	sh_sub_pic	방문상담 아이템 서브사진	mediumtext	YES	NULL		
tb_shop_items_regist_temp	last_update_date	최근수정일	timestamp	NO	CURRENT_TIMESTAMP	PRI	DEFAULT_GENERATED
tb_shop_items_regist_temp	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_items_regist_temp	sr_no		int	NO	NULL	PRI	auto_increment
tb_shop_items_regist_temp	sh_code	상품 코드	varchar(25)	NO	NULL	MUL	
tb_shop_items_regist_temp	it_code	아이템 코드	varchar(25)	NO	NULL		
tb_shop_items_regist_temp	ce_code	상담사 코드	varchar(25)	NO	NULL		
tb_shop_items_regist_temp	it_nick	상담사 닉네임	varchar(30)	YES	NULL		
tb_shop_items_regist_temp	sh_category_code	방문상담 아이템 상품 카테고리 코드	varchar(40)	YES	NULL	MUL	
tb_shop_items_regist_temp	sh_category_name	방문상담 아이템 상품 카테고리 네임	varchar(100)	YES	NULL		
tb_shop_items_regist_temp	sh_subject	방문상담 아이템 상품명	varchar(200)	YES	NULL		
tb_shop_items_regist_temp	sh_price	방문상담 아이템 상품 가격	int unsigned	YES	NULL		
tb_shop_items_regist_temp	sh_zipcode	방문상담 아이템 우편번호	varchar(20)	YES	NULL		
tb_shop_items_regist_temp	sh_addr1	방문상담 아이템 주소	varchar(256)	YES	NULL		
tb_shop_items_regist_temp	sh_addr2	방문상담 아이템 상세주소	varchar(256)	YES	NULL		
tb_shop_items_regist_temp	sh_addr_info	방문상담 아이템 주소 추가 설명	varchar(256)	YES	NULL		
tb_shop_items_regist_temp	sh_service_desc	방문상담 아이템 서비스 소개	mediumtext	YES	NULL		
tb_shop_items_regist_temp	sh_service_pic	방문상담 아이템 서비스 소개 이미지	varchar(200)	YES	NULL		
tb_shop_items_regist_temp	sh_subscription	방문상담 아이템 신청정보	mediumtext	YES	NULL		
tb_shop_items_regist_temp	sh_direction	방문상담 아이템 유의사항	varchar(1000)	YES	NULL		
tb_shop_items_regist_temp	sh_seller_rule	방문상담 아이템 취소 및 환불 규정	mediumtext	YES	NULL		
tb_shop_items_regist_temp	sh_main_pic	방문상담 아이템 대표사진	varchar(200)	YES	NULL		
tb_shop_items_regist_temp	sub_faq_ids	faq question json 형태로 저장	mediumtext	YES	NULL		
tb_shop_items_regist_temp	fa_answer	faq answer json 형태로 저장	mediumtext	YES	NULL		
tb_shop_opt	opt_no	시퀀스	int unsigned	NO	NULL	PRI	auto_increment
tb_shop_opt	sh_code	상품 코드	varchar(25)	NO	NULL	MUL	
tb_shop_opt	sh_optname	옵션명	varchar(60)	NO	NULL		
tb_shop_opt	sh_price	 상품 가격 	int unsigned	YES	NULL		
tb_shop_opt	sh_index	 정렬순서	smallint	YES	NULL		
tb_shop_opt	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_opt	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_opt	opt_live	사용여부 Y:사용, N:삭제	enum('Y','N')	YES	Y		
tb_shop_order	od_code	 결제코드 	varchar(25)	NO	NULL	PRI	
tb_shop_order	st_code	 사이트 코드 	varchar(25)	NO	NULL		
tb_shop_order	ac_no	 계정번호 	int unsigned	NO	NULL		
tb_shop_order	pd_code	 상품 코드 : get_pdcode 함수 호출로 입력 	varchar(25)	NO	NULL		
tb_shop_order	cr_code	 회원코드 	varchar(25)	YES	NULL	MUL	
tb_shop_order	ac_id	 계정 아이디 	varchar(256)	YES	NULL	MUL	
tb_shop_order	ac_nick		varchar(25)	YES	NULL		
tb_shop_order	cr_phone		varchar(25)	YES	NULL		
tb_shop_order	pd_type	 상품구분 : shop: 대면상품	varchar(20)	NO	charge		
tb_shop_order	pd_genre	상품 장르 : shop: 대면	varchar(10)	YES	shop		
tb_shop_order	pd_name	 상품 명 	varchar(125)	YES	NULL		
tb_shop_order	pd_price	 상품가격 : VAT 포함 	int unsigned	YES	NULL		
tb_shop_order	pd_coin	 충전코인 	int unsigned	YES	NULL		
tb_shop_order	cu_code	 쿠폰 코드 : func_get_cu_code로 생성 	varchar(25)	YES	NULL		
tb_shop_order	cui_code	 쿠폰 사용 코드 : func_get_cui_code 함수를 이용하여 추출 	varchar(50)	YES	NULL		
tb_shop_order	od_dc_amount	 쿠폰 결제 금액 	int unsigned	NO	0		
tb_shop_order	od_pay_amount	 결제금액 	int unsigned	NO	0		
tb_shop_order	od_refund_amount	 환불금액 	int	NO	0		
tb_shop_order	od_pay_method	 결제방법 	varchar(20)	YES	NULL		
tb_shop_order	od_card_quota	 카드-할부개월 	tinyint unsigned	NO	0		
tb_shop_order	od_card_bank	 카드-카드종류 	varchar(20)	YES	NULL		
tb_shop_order	od_tid	PG사 TID : PG사의 트랜젝션 아이디	varchar(125)	YES	NULL		
tb_shop_order	od_status	 결제 상태 : ready=입금대기,paid=입금완료,cancelled=환불,failed=실패  	enum('ready','paid','cancelled','failed','part_refund')	NO	ready		
tb_shop_order	od_chk_status	  	varchar(20)	YES	NULL		
tb_shop_order	od_pay_result	 결제 결과 코드 	varchar(125)	YES	NULL		
tb_shop_order	od_pay_msg	 결제 결과 메시지 	varchar(1000)	YES	NULL		
tb_shop_order	od_income	 입금금액 	int unsigned	NO	0		
tb_shop_order	regist_id	 등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system 	varchar(25)	YES	NULL		
tb_shop_order	regist_type	 등록자 타입 : caller,callee,admin,system,060 	varchar(20)	YES	NULL		
tb_shop_order	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_order	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_order	pg_id	 PG 아이디 	varchar(1000)	YES	NULL		
tb_shop_order	od_refund_date	 환불 날짜 	timestamp	YES	NULL		
tb_shop_order	refund_id	 환불한 관리자 메일 	varchar(256)	YES	NULL		
tb_shop_order	od_pay_key	 옵션: 결제 완료 키 	varchar(256)	YES	NULL		
tb_shop_order	rv_no	 예약상담 인덱스 	varchar(1000)	YES	NULL		
tb_shop_order	ori_od_code	 환불시 원본 오더코드 	varchar(35)	YES	NULL		
tb_shop_order	od_phone_id	 핸드폰 결제 아이디 	varchar(100)	YES	NULL		
tb_shop_order	od_pg_code	 pg_code 	varchar(100)	YES	NULL		
tb_shop_order	od_country_code	결제한 국가코드	varchar(4)	NO	kr		
tb_shop_order	od_qty	구매 수량	int	YES	NULL		
tb_shop_order	sh_optname	옵션선택시 옵션명	varchar(60)	YES	NULL		
tb_shop_order	opt_no	옵션시 옵션 넘버	int	YES	NULL		
tb_shop_order	cm_write	해당상품에 대한 후기 등록여부	enum('Y','N')	YES	N		
tb_shop_order	it_nick	상담 닉네임(전화,채팅등 상담시 사용할 닉네임)	varchar(150)	YES	NULL		
tb_shop_order	od_device	기기 구분 : device_role	varchar(10)	YES	NULL		
tb_shop_region	sr_no	SEQ	int unsigned	NO	NULL	PRI	auto_increment
tb_shop_region	first_code	1차 분류 코드	varchar(20)	YES	NULL		
tb_shop_region	first_code_name	1차 분류명	varchar(40)	YES	NULL		
tb_shop_region	first_code_sort	1차 분류 정렬순	int	YES	NULL		
tb_shop_region	second_code	2차 분류 코드	varchar(25)	YES	NULL	MUL	
tb_shop_region	second_code_name	2차 분류명	varchar(50)	YES	NULL		
tb_shop_region	use_yn	사용여부	enum('Y','N')	YES	Y		
tb_shop_region	regist_date	등록일	timestamp	YES	NULL		
tb_shop_region	regist_id	등록자 ID	varchar(40)	YES	NULL		
tb_shop_region	last_updated_date	최근 수정일	timestamp	YES	NULL		
tb_shop_region	last_updated_id	최근 수정관리자	varchar(40)	YES	NULL		
tb_shop_reservation	sr_no	시퀀스	int unsigned	NO	NULL	PRI	auto_increment
tb_shop_reservation	sr_code	예약 코드	varchar(25)	YES	NULL		
tb_shop_reservation	ce_code	상담사 코드	varchar(25)	NO	NULL	MUL	
tb_shop_reservation	ac_id	회원 아이디	varchar(256)	NO	NULL		
tb_shop_reservation	ac_nick	회원 닉네임	varchar(25)	YES	NULL		
tb_shop_reservation	cr_code	회원 코드 	varchar(25)	NO	NULL		
tb_shop_reservation	cr_phone	회원 휴대폰	varchar(20)	YES	NULL		
tb_shop_reservation	sh_code	상품코드	varchar(25)	YES	NULL		
tb_shop_reservation	reserv_day	예약날짜	date	NO	NULL		
tb_shop_reservation	change_reserv_day	변경된 예약날짜	date	YES	NULL		
tb_shop_reservation	reserv_time	예약시간	varchar(5)	NO	NULL		
tb_shop_reservation	change_reserv_time	변경된 예약시간	varchar(5)	YES	NULL		
tb_shop_reservation	confirm_date	구매확정 날짜	timestamp	YES	NULL		
tb_shop_reservation	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_reservation	od_code	주문번호	varchar(25)	YES	NULL		
tb_shop_reservation	sh_genre	상품장르(작명,서비스,클래스)	varchar(20)	YES	NULL		
tb_shop_reservation	sh_category_code	 상품카테고리	varchar(40)	YES	NULL		
tb_shop_reservation	sh_subject	방문상담 아이템 상품명	varchar(200)	YES	NULL		
tb_shop_reservation	sh_request	신청정보	mediumtext	YES	NULL		
tb_shop_reservation	sh_price	방문상담 아이템 상품 가격	int unsigned	YES	NULL		
tb_shop_reservation	it_nick	상담사 닉네임	varchar(30)	YES	NULL		
tb_shop_reservation	sr_status	'0' => '접수대기','1' =>'예약확정','2' =>'이용완료','3' => '구매확정','4' => '구매취소','5' => '변경 접수대기'	tinyint	YES	NULL		
tb_shop_reservation	sh_optname	옵션 구매시 옵션명	varchar(60)	YES	NULL		
tb_shop_reservation	opt_no	옵션 상품 NO	int	YES	NULL		
tb_shop_reservation	last_update_date		timestamp	YES	NULL		
tb_shop_reservation	sh_memo	판매자 전달사항	varchar(500)	YES	NULL		
tb_shop_reservation	sh_direction	판매자 유의사항	varchar(300)	YES	NULL		
tb_shop_reservation	buy_date	구매날짜	timestamp	YES	NULL		
tb_shop_reservation	auto_buy_date	자동 구매 확정일	date	YES	NULL		
tb_shop_reservation	cancel_date	취소했을때 취소날짜	timestamp	YES	NULL		
tb_shop_reservation	shop_result_name	상담사 작업결과 파일명	varchar(1000)	YES	NULL		
tb_shop_reservation	shop_result	상담사 작업결과파일	varchar(300)	YES	NULL		
tb_shop_reservation	custom_see	주문자가 내역 확인했는지 여부	enum('Y','N')	YES	Y		
tb_shop_reservation	messageId	채팅 메세지 아이디	varchar(20)	YES	NULL		
tb_shop_reservation	complete_date	방문 완료날짜	timestamp	YES	NULL		
tb_shop_schedule	os_no		int unsigned	NO	NULL	PRI	auto_increment
tb_shop_schedule	ce_code	상담사코드	varchar(25)	NO	NULL	MUL	
tb_shop_schedule	time_unit	예약 시간 단위	tinyint	YES	NULL		
tb_shop_schedule	sales_time	영업시간 (|로 구분)	varchar(15)	YES	NULL		
tb_shop_schedule	rest_time	휴게시간 (|로 구분)	varchar(15)	YES	NULL		
tb_shop_schedule	can_reserv_date	예약 가능 날짜	date	NO	NULL		
tb_shop_schedule	can_reserv_time	예약 가능 시간 (|로 구분)	mediumtext	YES	NULL		
tb_shop_schedule	can_people	예약 가능 인원	tinyint	YES	NULL		
tb_shop_schedule	regist_admin	등록자	varchar(100)	YES	NULL		
tb_shop_schedule	regist_date	등록일	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_shop_schedule	last_update_date	수정일	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_simplepay	sp_no		int	NO	NULL	PRI	auto_increment
tb_simplepay	st_code	사이트	varchar(25)	NO	NULL	MUL	
tb_simplepay	cr_code	회원코드	varchar(25)	NO	NULL		
tb_simplepay	ac_id	회원아이디(이메일)	varchar(255)	NO	NULL		
tb_simplepay	sp_bid	발급된 빌키	varchar(60)	NO	NULL		
tb_simplepay	sp_password	간편결제 비밀번호 6자리 숫자	varchar(255)	NO	NULL		
tb_simplepay	pass_err_cnt	누적 비밀번호 오류횟수 매일 초기화, 결제시 초기화	tinyint unsigned	NO	0		
tb_simplepay	pass_err_date	비밀번호 에러난 날짜, 비밀번호 에러나면 해당 날과 비교해 누적또는 새로 카운트	timestamp	YES	NULL		
tb_simplepay	sp_card_name	등록된 카드이름	varchar(100)	NO	NULL		
tb_simplepay	sp_card_no	카드번호 (카드번호 끝자리만)	varchar(30)	NO	NULL		
tb_simplepay	sp_card_ci	등록된 카드타입 (신용, 체크)	varchar(10)	NO	NULL		
tb_simplepay	sp_fail_cnt	결제오류 카운트	int	NO	0		
tb_simplepay	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_simplepay	last_update_date	최근수정일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_site_number	stn_number	서비스 번호	varchar(25)	NO	NULL	PRI	
tb_site_number	st_code	사이트 코드	varchar(25)	NO	NULL		
tb_site_number	stn_type	통화구분 : 선불=coin,후불=060	varchar(10)	YES	NULL		
tb_site_number	stn_name	회선 번호 이름	varchar(125)	YES	NULL		
tb_site_number	stn_price	30초당 과금액	int unsigned	YES	0		
tb_site_number	stn_freetime	통화공제초	int unsigned	YES	0		
tb_site_number	stn_callno	발신번호	varchar(20)	YES	NULL		
tb_site_number	stn_menu		varchar(25)	YES	NULL		
tb_site_number	stn_limit	월 한도 사용	enum('Y','N')	YES	N		
tb_site_number	tell_limit_amount	일반전화 월한도 금액	int unsigned	YES	0		
tb_site_number	hp_limit_amount	휴대폰 월한도 금액	int unsigned	YES	0		
tb_site_number	regist_id	등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system	varchar(25)	YES	NULL		
tb_site_number	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_site_number	last_update_date	최근수정일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_site_number	country_code		varchar(10)	NO	KR		
tb_sitemap	ts_loc	사이트맵 LOC	varchar(255)	YES	NULL	MUL	
tb_sitemap	ts_title	사이트맵 TITLE	varchar(255)	YES	NULL		
tb_sitemap	ts_desc	사이트맵 DESC	varchar(255)	YES	NULL		
tb_sitemap	ts_keyword	사이트맵 KEYWORDS	varchar(255)	YES	NULL		
tb_sitemap	ts_image	사이트맵 이미지	varchar(1024)	YES	NULL		
tb_sitemap	ts_update_yn	사이트맵 갱신여부(사이트메인, 각 아이템 메인 변경 N)	enum('Y','N')	YES	Y		
tb_sitemap	regist_date	등록일	datetime	YES	NULL		
tb_sites	st_code		varchar(25)	NO	NULL	PRI	
tb_sites	st_name		varchar(125)	YES	NULL		
tb_sites	st_url		varchar(256)	YES	NULL		
tb_sites	st_mobile_url		varchar(256)	YES	NULL		
tb_sites	st_admin_email		varchar(512)	YES	NULL		
tb_sites	st_admin_name		varchar(50)	YES	NULL		
tb_sites	st_cs_phone		varchar(20)	YES	NULL		
tb_sites	st_fcm_key		varchar(1024)	YES	NULL		
tb_sites	st_app_build_ver	최신앱빌드버전	varchar(20)	YES	NULL		
tb_sites	st_tapp_fcm_token		varchar(1024)	YES	NULL		
tb_sites	st_tapp_voip_token	t app ios voip token	varchar(1024)	YES	NULL		
tb_sites	st_tapp_voip_token_update	voip token 20분마다 갱신 확인용 시간	timestamp	YES	NULL		
tb_sites	st_tapp_ios_app_i무료)	decimal(3,2)	YES	0.00		
tb_summary_call_adjustment	coin_sum_duration	코인통화시간의 합 (정산용) 	int	YES	0		
tb_summary_call_adjustment	coin_sum_sectotime	코인통화시간의 합의 시:분:초 표기	varchar(32)	YES	0		
tb_summary_call_adjustment	coin_sum_duration_free	코인통화시간(무료)의 합(정산용)	int	YES	0		
tb_summary_call_adjustment	coin_sum_sectotime_free	코인통화시간(무료)의 합의 시:분:초 표기	varchar(32)	YES	0		
tb_summary_call_adjustment	coin_sum_duration_pay	코인통화시간(유료)의 합(정산용)	int	YES	0		
tb_summary_call_adjustment	coin_sum_sectotime_pay	코인통화시간(유료)의 합의 시:분:초 표기	varchar(32)	YES	0		
tb_summary_call_adjustment	coin_sum_rev	통합매출의 합(정산용:유료+무료) 	int	YES	0		
tb_summary_call_adjustment	coin_sum_rev_free	통합매출의 합(정산용:무료)	int	YES	0		
tb_summary_call_adjustment	coin_sum_rev_pay	통합매출의 합(정산용:유료)	int	YES	0		
tb_summary_call_adjustment	060_sum_duration	060통화시간의 합 (정산용) 	int	YES	0		
tb_summary_call_adjustment	060_sum_sectotime	060통화시간의 합의 시:분:초 표기	varchar(32)	YES	0		
tb_summary_call_adjustment	060_sum_rev	060매출의 합 (정산용)	int	YES	0		
tb_summary_call_adjustment	sum_rev	전체매출=coin_sum_rev+060_sum_rev+reserv_sum_rev	int	YES	0		
tb_summary_call_adjustment	sum_rev_free	코인통화매출 합(무료)	int	YES	0		
tb_summary_call_adjustment	sum_rev_pay	코인통화매출 합(유료)	int	YES	0		
tb_summary_call_adjustment	sum_ratio_rev	 ratio_rev의 합  	int	YES	0		
tb_summary_call_adjustment	regist_date	 등록일 	datetime	YES	NULL		
tb_summary_call_adjustment	memo	정산 관련 메모, 비고란	text	YES	NULL		
tb_summary_call_adjustment	reserv_sum_duration	예약통화시간의 합 (정산용)	int	YES	0		
tb_summary_call_adjustment	reserv_sum_sectotime	예약통화시간의 합 시:분:초 표기	varchar(32)	YES	0		
tb_summary_call_adjustment	reserv_sum_rev	예약통화매출의 합 (정산용)	int	YES	0		
tb_summary_call_adjustment	sum_duration	코인통화,060통화,예약통화 전체정산시간 합	int	YES	0		
tb_summary_call_adjustment	sum_sectotime	코인통화,060통화,예약통화 전체정산시간 합 시:분:초 표기	varchar(32)	YES	0		
tb_summary_call_adjustment	chat_sum_duration	코인채팅 정산 시간의 합(초)	int	YES	0		
tb_summary_call_adjustment	chat_sum_sectotime	코인채팅 정산 시간의 합(시:분:초 표기)	varchar(32)	YES	0		
tb_summary_call_adjustment	chat_sum_duration_free	코인채팅 시간(무료)의 합(초)	int	YES	0		
tb_summary_call_adjustment	chat_sum_sectotime_free	코인채팅 시간(무료)의 합(시:분:초 표기)	varchar(32)	YES	0		
tb_summary_call_adjustment	chat_sum_duration_pay	코인채팅 시간(유료)의 합(초)	int	YES	0		
tb_summary_call_adjustment	chat_sum_sectotime_pay	코인채팅 시간(유료)의 합(시:분:초 표기)	varchar(32)	YES	0		
tb_summary_call_adjustment	chat_sum_rev	코인채팅 매출의 합(정산용)	int	YES	0		
tb_summary_call_adjustment	chat_sum_rev_free	코인채팅 매출 합(무료)	int	YES	0		
